Milisec	Time	M0A0	M1A0	M2A0	M0A1	M1A1	M2A1	M0A2	M1A2	M2A2	M0A3	M1A3	M2A3	M0A4	M1A4	M2A4	M0A5	M1A5	M2A5	M0A6	M1A6	M2A6	Trigger	Temp
3294780	10:44:57 AM	2.7368	2.6721	4.9988	2.7258	2.5977	3.0054	2.5623	2.7942	2.7771	4.1492	3.0859	3.6072	3.1421	2.5427	2.8210	2.6465	3.4949	4.9988	2.7759	4.9988	4.9988	0.0000	2.5830
3294880	10:44:57 AM	2.7368	2.6733	4.9988	2.6599	2.5989	3.0017	2.5623	2.7942	2.7759	4.1418	3.0835	3.6035	3.1409	2.5427	2.8210	2.6465	3.4924	4.9988	2.7759	4.9988	4.9988	0.0000	2.5842
3294980	10:44:57 AM	2.7356	2.6733	4.9988	2.6099	2.5989	3.0005	2.5623	2.7942	2.7747	4.1333	3.0811	3.6011	3.1409	2.5427	2.8223	2.6453	3.4900	2.8577	2.7759	4.9988	4.9988	0.0000	2.5830
3295080	10:44:57 AM	2.7356	2.6733	4.9988	2.6221	2.5989	2.9993	2.5610	2.7930	2.7734	4.1260	3.0774	3.5986	3.1409	2.5427	2.8223	2.6453	3.4900	2.8503	2.7759	4.9988	4.9988	0.0000	2.5842
3295180	10:44:57 AM	2.7356	2.6733	4.9988	2.6172	2.5989	2.9968	2.5610	2.7917	2.7722	4.1333	3.0725	3.5974	3.1421	2.5439	2.8223	2.6453	3.4888	2.8369	2.7747	4.9988	4.9988	0.0000	2.5830
3295280	10:44:57 AM	2.7356	2.6733	4.9988	2.6086	2.6001	2.9993	2.5610	2.7930	2.7710	4.1382	3.0701	3.5962	3.1409	2.5427	2.8235	2.6453	3.4863	2.8345	2.7734	4.9988	4.9988	0.0000	2.5842
3295380	10:44:57 AM	2.7344	2.6721	4.9988	2.6074	2.6001	2.9993	2.5610	2.7930	2.7698	4.1357	3.0664	3.5974	3.1409	2.5427	2.8247	2.6440	3.4863	2.8333	2.7722	4.9988	4.9988	0.0000	2.5842
3295480	10:44:57 AM	2.7356	2.6721	4.9988	2.6001	2.6001	2.9968	2.5610	2.7930	2.7686	4.1235	3.0652	3.5962	3.1409	2.5427	2.8247	2.6440	3.4839	2.8308	2.7722	4.9988	4.9988	0.0000	2.5830
3295580	10:44:57 AM	2.7356	2.6721	4.9988	2.6025	2.5989	2.9956	2.5598	2.7917	2.7686	4.1064	3.0664	3.5925	3.1409	2.5427	2.8247	2.6453	3.4827	2.8308	2.7722	4.9988	4.9988	0.0000	2.5842
3295680	10:44:58 AM	2.7344	2.6721	4.9988	2.6111	2.5989	2.9932	2.5598	2.7917	2.7686	4.0942	3.0676	3.5889	3.1409	2.5427	2.8247	2.6453	3.4814	2.8308	2.7734	4.9988	4.9988	0.0000	2.5830
