Milisec	Time	M0A0	M1A0	M2A0	M0A1	M1A1	M2A1	M0A2	M1A2	M2A2	M0A3	M1A3	M2A3	M0A4	M1A4	M2A4	M0A5	M1A5	M2A5	M0A6	M1A6	M2A6	Trigger	Temp
2960645	10:39:23 AM	2.9028	2.6697	4.9988	2.6050	2.6111	2.8674	2.5793	2.7222	2.7673	4.3311	2.9480	3.5388	3.1152	2.5354	2.8894	2.6038	3.5107	4.9988	2.7771	4.9988	4.9988	0.0000	2.5269
2960745	10:39:23 AM	2.9028	2.6697	4.9988	2.6001	2.6111	2.8662	2.5806	2.7222	2.7661	4.3262	2.9480	3.5339	3.1165	2.5354	2.8882	2.6038	3.5095	4.9988	2.7783	4.9988	4.9988	0.0000	2.5818
2960845	10:39:23 AM	2.9053	2.6697	4.9988	2.6001	2.6111	2.8650	2.5830	2.7222	2.7661	4.3677	2.9504	3.5352	3.1165	2.5354	2.8882	2.6025	3.5083	4.9988	2.7783	4.9988	4.9988	0.0000	2.5818
2960945	10:39:23 AM	2.9089	2.6721	4.9988	2.5989	2.6111	2.8638	2.5842	2.7209	2.7673	4.3835	2.9492	3.5339	3.1177	2.5354	2.8882	2.6025	3.5083	4.9988	2.7783	4.9988	4.9988	0.0000	2.5818
2961045	10:39:23 AM	2.9065	2.6709	4.9988	2.5964	2.6111	2.8625	2.5830	2.7209	2.7673	4.3518	2.9456	3.5339	3.1189	2.5354	2.8870	2.6013	3.5071	4.9988	2.7832	4.9988	4.9988	0.0000	2.5818
2961145	10:39:23 AM	2.9016	2.6709	4.9988	2.5977	2.6111	2.8577	2.5818	2.7222	2.7686	4.3372	2.9395	3.5315	3.1165	2.5366	2.8870	2.6001	3.5059	4.9988	2.7869	4.9988	4.9988	0.0000	2.5806
2961245	10:39:23 AM	2.8992	2.6733	4.9988	2.5879	2.6111	2.8540	2.5818	2.7222	2.7673	4.3420	2.9370	3.5291	3.1140	2.5366	2.8870	2.5989	3.5046	4.9988	2.7856	4.9988	4.9988	0.0000	2.5818
2961345	10:39:23 AM	2.8931	2.6709	4.9988	2.5891	2.6111	2.8528	2.5793	2.7283	2.7673	4.3250	2.9321	3.5254	3.1116	2.5366	2.8870	2.6001	3.5046	4.9988	2.7832	4.9988	4.9988	0.0000	2.5818
2961445	10:39:23 AM	2.8870	2.6697	4.9988	2.5879	2.6111	2.8552	2.5781	2.7319	2.7698	4.3140	2.9333	3.5181	3.1104	2.5354	2.8845	2.6013	3.5034	4.9988	2.7808	4.9988	4.9988	0.0000	2.5818
2961545	10:39:23 AM	2.8857	2.6672	4.9988	2.5867	2.6111	2.8711	2.5781	2.7356	2.7734	4.2957	2.9443	3.5083	3.1116	2.5354	2.8821	2.6062	3.5034	4.9988	2.7808	4.9988	4.9988	0.0000	2.5806
2961645	10:39:24 AM	2.8845	2.6636	4.9988	2.5964	2.6123	2.8979	2.5769	2.7405	2.7722	4.2993	2.9590	3.5156	3.1238	2.5330	2.8809	2.6245	3.5059	4.9988	2.7783	4.9988	4.9988	0.0000	2.5818
